Author ,Year,Specimen,H,H_units,B,B_units,t,t_units,SteelTubeType,Fy,Fy_units,Fu,Fu_units,fc,fc_units,fc_type,L,L_units,et,et_units,eb,eb_units,BendingAxis,Pexp,Pexp_units,d_at_Pexp,d_at_Pexp_units,LoadDeformation,Tags,Notes
Dundu ,2016,S1-12,150,mm,150,mm,3.5,mm,ColdFormed,405,MPa,481.1,MPa,25,MPa,Cylinder,2500,mm,0,mm,0,mm,strong,1198.25,kN,,,,,
Dundu ,2016,S2-1,60,mm,60,mm,3,mm,ColdFormed,351.51,MPa,373.81,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,105.4,kN,,,,,
Dundu ,2016,S2-2,60,mm,60,mm,4,mm,ColdFormed,528.55,MPa,538.83,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,127.7,kN,,,,,
Dundu ,2016,S2-3,60,mm,60,mm,4.5,mm,ColdFormed,522.11,MPa,547.72,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,156,kN,,,,,
Dundu ,2016,S2-4,63,mm,63,mm,3,mm,ColdFormed,442.69,MPa,479.38,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,123.6,kN,,,,,
Dundu ,2016,S2-5,63,mm,63,mm,4,mm,ColdFormed,517.49,MPa,545.31,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,154.7,kN,,,,,
Dundu ,2016,S2-6,63,mm,63,mm,4.5,mm,ColdFormed,449.95,MPa,480.05,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,168.6,kN,,,,,
Dundu ,2016,S2-7,76,mm,76,mm,3,mm,ColdFormed,441.12,MPa,497.86,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,212,kN,,,,,
Dundu ,2016,S2-8,76,mm,76,mm,4,mm,ColdFormed,498.38,MPa,528.64,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,247.3,kN,,,,,
Dundu ,2016,S2-9,76,mm,76,mm,4.5,mm,ColdFormed,500.97,MPa,532.65,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,266.5,kN,,,,,
Dundu ,2016,S2-10,100,mm,100,mm,3,mm,ColdFormed,441.19,MPa,493.92,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,405,kN,,,,,
Dundu ,2016,S3-1,100,mm,100,mm,4.5,mm,ColdFormed,424.49,MPa,474.94,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,501.71,kN,,,,,
Dundu ,2016,S3-2,120,mm,120,mm,3,mm,ColdFormed,400.77,MPa,512.76,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,770.385,kN,,,,,
Dundu ,2016,S3-3,120,mm,120,mm,4.5,mm,ColdFormed,436.54,MPa,530.41,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,830,kN,,,,,
Dundu ,2016,S3-4,150,mm,150,mm,3,mm,ColdFormed,429.14,MPa,403.86,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,1087.1,kN,,,,,
Dundu ,2016,S3-5,150,mm,150,mm,4.5,mm,ColdFormed,334.8,MPa,474.76,MPa,28.8,MPa,Cylinder,2700,mm,0,mm,0,mm,strong,1285.1,kN,,,,,
Lee et al.,2016,E1,300,mm,300,mm,5,mm,WeldedBox,746,MPa,835,MPa,70.5,MPa,Cylinder,1720,mm,40,mm,40,mm,strong,6491,kN,3.63,mm,yes,,
Lee et al.,2016,E2,300,mm,150,mm,5,mm,WeldedBox,746,MPa,835,MPa,83.6,MPa,Cylinder,1720,mm,20,mm,20,mm,weak,3873,kN,8.53,mm,yes,,
Lee et al.,2016,E3,300,mm,300,mm,5,mm,WeldedBox,301,MPa,466,MPa,70.5,MPa,Cylinder,1720,mm,40,mm,40,mm,strong,4553,kN,4.42,mm,yes,,
Du et al.,2017,SC40-150-0.2,150,mm,150,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,43.2,MPa,Cube,1180,mm,13,mm,13,mm,strong,2470,kN,,,,,
Du et al.,2017,SC40-180-0.2,180,mm,120,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,43.2,MPa,Cube,1180,mm,18.5,mm,18.5,mm,strong,2660,kN,,,,,
Du et al.,2017,SC40-200-0.2,200,mm,100,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,43.2,MPa,Cube,1180,mm,20,mm,20,mm,strong,2595,kN,,,,,
Du et al.,2017,SC50-150-0.2,150,mm,150,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,55.3,MPa,Cube,1180,mm,15,mm,15,mm,strong,2450,kN,,,,,
Du et al.,2017,SC50-180-0.2,180,mm,120,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,55.3,MPa,Cube,1180,mm,18,mm,18,mm,strong,2530,kN,,,,,
Du et al.,2017,SC50-200-0.2,200,mm,100,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,55.3,MPa,Cube,1180,mm,19,mm,19,mm,strong,2625,kN,,,,,
Du et al.,2017,SC40-150-0.4,150,mm,150,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,43.2,MPa,Cube,1180,mm,31.5,mm,31.5,mm,strong,2042,kN,,,,,
Du et al.,2017,SC40-180-0.4,180,mm,120,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,43.2,MPa,Cube,1180,mm,37,mm,37,mm,strong,2150,kN,,,,,
Du et al.,2017,SC40-200-0.4,200,mm,100,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,43.2,MPa,Cube,1180,mm,39.8,mm,39.8,mm,strong,2228,kN,,,,,
Du et al.,2017,SC50-150-0.4,150,mm,150,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,55.3,MPa,Cube,1180,mm,32.5,mm,32.5,mm,strong,2020,kN,,,,,
Du et al.,2017,SC50-180-0.4,180,mm,120,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,55.3,MPa,Cube,1180,mm,41,mm,41,mm,strong,2150,kN,,,,,
Du et al.,2017,SC50-200-0.4,200,mm,100,mm,8.28,mm,WeldedBox,488.4,MPa,553,MPa,55.3,MPa,Cube,1180,mm,41.5,mm,41.5,mm,strong,2100,kN,,,,,
Khan et al.,2017a,CB15-SL1(A),73.93,mm,73.93,mm,4.89,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,1732,kN,,,,,
Khan et al.,2017a,CB15-SL1(B),73.84,mm,73.84,mm,4.89,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,1362,kN,,,,,
Khan et al.,2017a,CB15-SL1(C),73.6,mm,73.6,mm,4.96,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,1572,kN,,,,,
Khan et al.,2017a,CB20-SL1(A),98.87,mm,98.87,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,2087,kN,,,,,
Khan et al.,2017a,CB20-SL1(B),98.89,mm,98.89,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,2109,kN,,,,,
Khan et al.,2017a,CB20-SL1(C),99.29,mm,99.29,mm,4.89,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,2374,kN,,,,,
Khan et al.,2017a,CB25-SL1(A),124.12,mm,124.12,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,3748,kN,,,,,
Khan et al.,2017a,CB25-SL1(B),124.39,mm,124.39,mm,4.89,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,3560,kN,,,,,
Khan et al.,2017a,CB25-SL1(C),124.05,mm,124.05,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1512,mm,0,mm,,,strong,2799,kN,,,,,
Khan et al.,2017a,CB15-SL2(A),74.36,mm,74.36,mm,4.9,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,583,kN,,,,,
Khan et al.,2017a,CB15-SL2(B),74.44,mm,74.44,mm,4.94,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,878,kN,,,,,
Khan et al.,2017a,CB15-SL2(C),75.08,mm,75.08,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,594,kN,,,,,
Khan et al.,2017a,CB20-SL2(A),99.95,mm,99.95,mm,4.9,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,1377,kN,,,,,
Khan et al.,2017a,CB20-SL2(B),100,mm,100,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,1049,kN,,,,,
Khan et al.,2017a,CB20-SL2(C),99.37,mm,99.37,mm,4.91,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,1235,kN,,,,,
Khan et al.,2017a,CB25-SL2(A),124.6,mm,124.6,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,2823,kN,,,,,
Khan et al.,2017a,CB25-SL2(B),125.09,mm,125.09,mm,4.89,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,2546,kN,,,,,
Khan et al.,2017a,CB25-SL2(C),124.54,mm,124.54,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,2522,kN,,,,,
Khan et al.,2017a,CB30-SL2(A),149.72,mm,149.72,mm,4.94,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,3938,kN,,,,,
Khan et al.,2017a,CB30-SL2(B),149.96,mm,149.96,mm,4.91,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,3739,kN,,,,,
Khan et al.,2017a,CB30-SL2(C),150.31,mm,150.31,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,3988,kN,,,,,
Khan et al.,2017a,CB40-SL2(A),199.62,mm,199.62,mm,4.95,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,6141,kN,,,,,
Khan et al.,2017a,CB40-SL2(B),199.5,mm,199.5,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,6004,kN,,,,,
Khan et al.,2017a,CB40-SL2(C),199.78,mm,199.78,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,2512,mm,0,mm,,,strong,6329,kN,,,,,
Khan et al.,2017a,CB15-SL3(A),74.41,mm,74.41,mm,4.95,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,469,kN,,,,,
Khan et al.,2017a,CB15-SL3(B),73.95,mm,73.95,mm,4.97,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,286,kN,,,,,
Khan et al.,2017a,CB15-SL3(C),74.16,mm,74.16,mm,4.89,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,410,kN,,,,,
Khan et al.,2017a,CB20-SL3(A),98.99,mm,98.99,mm,4.95,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,810,kN,,,,,
Khan et al.,2017a,CB20-SL3(B),99.4,mm,99.4,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,851,kN,,,,,
Khan et al.,2017a,CB20-SL3(C),99.51,mm,99.51,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,761,kN,,,,,
Khan et al.,2017a,CB25-SL3(A),124.41,mm,124.41,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,1535,kN,,,,,
Khan et al.,2017a,CB25-SL3(B),124.24,mm,124.24,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,1196,kN,,,,,
Khan et al.,2017a,CB25-SL3(C),124.4,mm,124.4,mm,4.95,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,1539,kN,,,,,
Khan et al.,2017a,CB30-SL3(A),149.33,mm,149.33,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,4142,kN,,,,,
Khan et al.,2017a,CB30-SL3(B),148.88,mm,148.88,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,2303,kN,,,,,
Khan et al.,2017a,CB30-SL3(C),149.92,mm,149.92,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,2556,kN,,,,,
Khan et al.,2017a,CB40-SL3(A),199.84,mm,199.84,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,5002,kN,,,,,
Khan et al.,2017a,CB40-SL3(B),199.59,mm,199.59,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,5896,kN,,,,,
Khan et al.,2017a,CB40-SL3(C),200.67,mm,200.67,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,3512,mm,0,mm,,,strong,5052,kN,,,,,
Khan et al.,2017b,CB15-SH(A),74.04,mm,74.04,mm,4.91,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,285,mm,0,mm,,,strong,1636,kN,,,,,
Khan et al.,2017b,CB15-SH(B),72.87,mm,72.87,mm,4.88,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,285,mm,0,mm,,,strong,1755,kN,,,,,
Khan et al.,2017b,CB20-SH(A),99.56,mm,99.56,mm,4.91,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,360,mm,0,mm,,,strong,2520,kN,,,,,
Khan et al.,2017b,CB20-SH(B),99.2,mm,99.2,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,360,mm,0,mm,,,strong,2632,kN,,,,,
Khan et al.,2017b,CB25-SH(A),124.43,mm,124.43,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,435,mm,0,mm,,,strong,3023,kN,,,,,
Khan et al.,2017b,CB25-SH(B),124.94,mm,124.94,mm,4.94,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,435,mm,0,mm,,,strong,2962,kN,,,,,
Khan et al.,2017b,CB30-SH(A),149.99,mm,149.99,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,510,mm,0,mm,,,strong,4115,kN,,,,,
Khan et al.,2017b,CB30-SH(B),149.87,mm,149.87,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,100,MPa,Cylinder,510,mm,0,mm,,,strong,3968,kN,,,,,
Khan et al.,2017b,CB30-SL1(A),149.77,mm,149.77,mm,4.93,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1514,mm,0,mm,,,strong,5164,kN,,,,,
Khan et al.,2017b,CB30-SL1(B),149.37,mm,149.37,mm,4.94,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1514,mm,0,mm,,,strong,4833,kN,,,,,
Khan et al.,2017b,CB30-SL1(C),149.58,mm,149.58,mm,4.95,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1514,mm,0,mm,,,strong,5085,kN,,,,,
Khan et al.,2017b,CB40-SH(A),199.01,mm,199.01,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,660,mm,0,mm,,,strong,5184,kN,,,,,
Khan et al.,2017b,CB40-SH(B),198.71,mm,198.71,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,660,mm,0,mm,,,strong,5604,kN,,,,,
Khan et al.,2017b,CB40-SL1(A),198.92,mm,198.92,mm,4.91,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1514,mm,0,mm,,,strong,7478,kN,,,,,
Khan et al.,2017b,CB40-SL1(B),198.99,mm,198.99,mm,4.92,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1514,mm,0,mm,,,strong,7506,kN,,,,,
Khan et al.,2017b,CB40-SL1(C),198.96,mm,198.96,mm,4.94,mm,WeldedBox,762,MPa,819,MPa,113,MPa,Cylinder,1514,mm,0,mm,,,strong,6460,kN,,,,,
